SEQ_LEN,torch.nn.functional.scaled_dot_product_attention,This tutorial's implementation
512.000000,16.626096,28.566384
1024.000000,21.064172,33.413428
1536.000000,22.338554,34.601388
2048.000000,22.951866,35.518910
2560.000000,23.375777,35.866822
3072.000000,23.664535,36.442850
3584.000000,23.829365,36.563175
4096.000000,24.046841,36.506529
4608.000000,24.170954,36.824979
5120.000000,24.226327,36.777623
5632.000000,24.308400,37.039626
6144.000000,24.384012,36.897216
6656.000000,24.440561,36.846648
7168.000000,24.476609,36.894115
7680.000000,24.523314,36.933973
8192.000000,24.565973,37.000701
